p2train-0	他们觉得父母的行为方式和价值观念太不老了	他们觉得父母的行为方式和价值观念太老了
p2train-33	地球上最不好的生物是人的	地球上最不好的生物是人
p2train-34	如果互相让一步自己的意见	如果互相让一步
p2train-35	一开始孩子都会跟父母学生活	一开始孩子都会跟父母生活
p2train-36	就选择自杀方式	就选择自杀
p2train-37	但我想我爸爸实在特别特别：物理学家	但我想我爸爸实在特别：物理学家
p2train-38	他已经不在这个人世了	他已经不在人世了
p2train-39	我大一年的时候什么都不做每天就玩儿	我大一的时候什么都不做每天就玩儿
p2train-40	在中学这一个非常时期	中学这一个非常时期
p2train-41	也就是说把在全世界生产的粮食归于全世界	也就是说把全世界生产的粮食归于全世界
p2train-42	与方便联络我的地址是	方便联络我的地址是
p2train-43	要坚持着靠自己做事情	要坚持靠自己做事情
p2train-44	能够对人和事物的看法能够保持肯定的态度	能够对人和事物的看法保持肯定的态度
p2train-45	当然说起来容易做起来难的	当然说起来容易做起来难
p2train-46	所以我和他之间没有个人性的关系	所以我和他之间没有个人的关系
p2train-47	而且希望他的长寿	而且希望他长寿
p2train-48	现在我在有一所外语培训学校教日语	现在我在一所外语培训学校教日语
p2train-49	但怎么能自己决定去什么样的学校是比较难的	但自己决定去什么样的学校是比较难的
p2train-50	更是一个重要的而正常的社交场所	更是一个重要而正常的社交场所
p2train-51	在人类的脑海深处都埋藏着“人多好办事”这一个道理	在人类的脑海深处都埋藏着“人多好办事”这个道理
p2train-52	吸烟对个人健康和公众利益方面的影响的确是很大	吸烟对个人健康和公众利益的影响的确是很大
p2train-53	对我来说最理想的是先是好朋友后才该谈恋爱	对我来说最理想的是先是好朋友后才谈恋爱
p2train-54	和使农产品更大更好看	使农产品更大更好看
p2train-55	从毕业后一直从事有关中国的工作	毕业后一直从事有关中国的工作
p2train-56	有点儿怕遇到的事情了	有点儿怕遇到的事情
p2train-57	我觉得这位医生做的完全是一种发自内心的一种行为	我觉得这位医生做的完全是一种发自内心的行为
p2train-58	男生女生一起度过学生时代才对了	男生女生一起度过学生时代才对
p2train-59	所谓的为了避免早恋只是家长的一个借口	所谓的避免早恋只是家长的一个借口
p2train-60	汉语的语法离西方语言的很远	汉语的语法离西方语言很远
p2train-61	人们都通过交流才能互相理解	人们通过交流才能互相理解
p2train-62	可是她的一个儿子是出生不久就死了	可是她的一个儿子出生不久就死了
p2train-63	我在路上或室内上经常能看到有人吸烟	我在路上或室内经常能看到有人吸烟
p2train-64	我母亲想让我当一个弹钢琴家的	我母亲想让我当一个钢琴家的
p2train-65	我便把那次的失败当作学习的动力	我把那次的失败当作学习的动力
p2train-66	那就是喜欢听音乐的达到痴迷的程度的	那就是喜欢听音乐的达到痴迷的程度
p2train-67	但是我们的父母和老人是有点儿不喜欢	但是我们的父母和老人有点儿不喜欢
p2train-68	我打算今年的暑假的时候也回日本	我打算今年暑假的时候也回日本
p2train-69	古代没有这个“代沟”的名字了	古代没有这个“代沟”的名字
p2train-70	如果失业失败了	如果失业了
p2train-71	我一要会能够克服任何问题	我一要能够克服任何问题
p2train-72	吃绿色食品的当然不是不好的事情	吃绿色食品当然不是不好的事情
p2train-73	他对子女子女教育的方法是自由放任式的	他对子女教育的方法是自由放任式的
p2train-74	两个人之间中最重要的	两个人之间最重要的
p2train-75	所以我想死就死是很自私的行为	所以想死就死是很自私的行为
p2train-76	就觉得打水是义务的	就觉得打水是义务
p2train-77	因为她是个我的母亲	因为她是我的母亲
p2train-78	我觉得最好的方法还是多的谈话	我觉得最好的方法还是多谈话
p2train-79	将刺耳的喇叭声还有恼人的电话铃声等等	刺耳的喇叭声还有恼人的电话铃声等等
p2train-80	但她有了家务要干	但她有家务要干
p2train-81	朋友一起去了	朋友一起去
p2train-82	由这个故事使我想到：人一般上是自私的	这个故事使我想到：人一般上是自私的
p2train-83	有了三个和尚	有三个和尚
p2train-84	我们也放心的出门	我们也放心出门
p2train-85	这是我初中小时的事情	这是我初中的事情
p2train-86	由于我正在于妈妈的身边	由于我正在妈妈的身边
p2train-87	而人类享受方式的不断变化	人类享受方式的不断变化
p2train-88	别说我们是不一样	别说我们不一样
p2train-89	有一天他把他的名字和电话号码写给我了	有一天他把他的名字和电话号码写给我
p2train-90	只要经她一教便也不会了	只要经她一教便也会了
p2train-91	结果一个人也没有去抬水的	结果一个人也没有去抬水
p2train-92	就像海棉一样汲取着自己各个方面的生存能力	就像海棉一样汲取着各个方面的生存能力
p2train-93	对我一生中最难忘的假期是二000年的寒假	我一生中最难忘的假期是二000年的寒假
p2train-94	必然导致两代上的对话隔阂	必然导致两代的对话隔阂
p2train-95	到底对人的健康有害吗	对人的健康有害吗
p2train-96	但如果那里的生活不辛苦的话	但如果那里的生活辛苦的话
p2train-97	两个弟弟和我	两个弟弟
p2train-98	可是这里有很重要的事实吧	这里有很重要的事实吧
p2train-99	我独自去美国加州了	我独自去美国加州
p2train-100	再怎样的挽救都很困难	再怎样挽救都很困难
p2train-101	我已经花了两年的时间光读	我已经花了两年的时间读
p2train-102	但不只是只有玩	但不只是玩
p2train-103	能多多和中国的政府―文化部门沟通一下	能多多和中国的政府―文化部门沟通
p2train-104	所以就在路边的石头上坐着而休息	所以就在路边的石头上坐着休息
p2train-105	因为我的父亲也对现在的我影响了很大	因为我的父亲也对现在的我影响很大
p2train-106	这种的感觉	这种感觉
p2train-107	在乡村里买的话比较贵	在乡村买的话比较贵
p2train-108	家中兄弟姐妹数十多人	家中兄弟姐妹十多人
p2train-109	父母与孩子存在“代沟”问题是很普遍的事	父母与孩子存在“代沟”是很普遍的事
p2train-110	大学都所在瑞山的	大学都在瑞山的
p2train-111	通过这种的方法	通过这种方法
p2train-112	另一个人从来不重视过爱	另一个人从来不重视爱
p2train-113	所以对他们来说那些客套话是个太花时间了	所以对他们来说那些客套话太花时间了
p2train-114	一根香烟内含一种名为尼古丁的致癌物	香烟内含一种名为尼古丁的致癌物
p2train-115	这个就是所谓说的“代沟”	这个就是所谓的“代沟”
p2train-116	对患者幸福吗	患者幸福吗
p2train-117	这句话跟他的学生时代的经验有关系的	这句话跟他的学生时代的经验有关系
p2train-118	对不同的人当然会有不同的意见	不同的人当然会有不同的意见
p2train-119	但他也可能会因为多了两个同伴而多少产生依赖的心理	他也可能会因为多了两个同伴而多少产生依赖的心理
p2train-120	也算是对东京上班族的居住区	也算是东京上班族的居住区
p2train-121	互相帮助的	互相帮助
p2train-122	好多人都想戒吸烟	好多人都想戒烟
p2train-123	可以使现在的水源保持到以后的生活里需要的时候	可以使现在的水源保持到以后的生活需要的时候
p2train-124	使他们能树立助人为乐的道德观念	使他们树立助人为乐的道德观念
p2train-125	家人不能知道病人自己的要求是否正常的	家人不能知道病人自己的要求是否正常
p2train-126	还有当时的情况很难以学习而知识分子的待遇很好	还有当时的情况难以学习而知识分子的待遇很好
p2train-127	可这是只是心里作用而已	可这只是心里作用而已
p2train-128	由这样的言传身教	这样的言传身教
p2train-129	甚至没有音乐的话可不能活下去	甚至没有音乐的话不能活下去
p2train-130	但至到一九六六年的四月的某一天	但一九六六年的四月的某一天
p2train-131	每逢假期或传统节目上	每逢假期或传统节目
p2train-132	学习很紧张的学生的话	学习很紧张的学生
p2train-133	那我很多人会回答不挨饿是第一位	那很多人会回答不挨饿是第一位
p2train-134	石油已经是从生活离不开的资源	石油已经是生活离不开的资源
p2train-135	而且现在大企业也正在实行了这项规定	而且现在大企业也正在实行这项规定
p2train-136	这跟中学生是否能谈恋爱这一话题都是老生常谈的	这跟中学生是否能谈恋爱这一话题都是老生常谈
p2train-137	还是有一些幼稚的地方的孩子	还是有一些幼稚的孩子
p2train-138	还是充满他的对我的爱	还是充满他对我的爱
p2train-139	所以很可能大多是地方有道理	所以很可能大多地方有道理
p2train-140	我被分配到他当领导的小组	我被分配到他领导的小组
p2train-141	都不能喝水的	都不能喝水
p2train-142	所以人们现在最关心的是对自己的健康	所以人们现在最关心的是自己的健康
p2train-143	肯定没有问题了	肯定没有问题
p2train-144	又想起来了去南方旅行	又想起来去南方旅行
p2train-145	我爸爸每天来照顾了我	我爸爸每天来照顾我
p2train-146	先家父有一些产业	先父有一些产业
p2train-147	各种各样大量的物品在市场上极少可见	各种各样大量的物品在市场上极少见
p2train-148	最重要的就是你所做过的过程	最重要的就是你所做的过程
p2train-149	我是大学毕业以后在东京教日语	我大学毕业以后在东京教日语
p2train-150	是世界国家的	是世界的
p2train-151	从小到长大都是父母一直在孩子的身边	从小到长大父母一直在孩子的身边
p2train-152	在像我们这一代人	像我们这一代人
p2train-153	一到每个周末他就要带我去钓鱼	一到周末他就要带我去钓鱼
p2train-154	离我家到学校太远	我家到学校太远
p2train-155	结果吸烟有很多不好的地方	吸烟有很多不好的地方
p2train-156	之所以这样	所以这样
p2train-157	但是最近我又感到了一种说不出来的寂寞：我快要离开这里	但是最近我又感到一种说不出来的寂寞：我快要离开这里
p2train-158	而是为了了解我在生活的这世界	而是为了了解我生活的这世界
p2train-159	这次考试比上次多难一些	这次考试比上次难一些
p2train-160	挫折从而变得一蹶不振	从而变得一蹶不振
p2train-161	在这座庙的一个和尚	这座庙的一个和尚
p2train-162	”我说了“你猜猜吧	”我说“你猜猜吧
p2train-163	如果法律效果有问题	如果法律有问题
p2train-164	增加父母和子女能谈话的节目	增加父母和子女谈话的节目
p2train-165	当然有了个阿姨看着我	当然有个阿姨看着我
p2train-166	我去年人民大学经经系毕业了	我去年人民大学经经系毕业
p2train-167	但我却很想要一点的自由	但我却很想要一点自由
p2train-168	跟活着时任何人都能以自己来决定自己的人生一样	跟活着时任何人都能自己来决定自己的人生一样
p2train-169	这样的话问题一般可以解决了	这样的话问题一般可以解决
p2train-170	这一点的确是个事实	这的确是个事实
p2train-171	妈妈老是给我都强调女人该做的事	妈妈老是给我强调女人该做的事
p2train-172	她替因为工作忙碌的母亲抚养了我	她替工作忙碌的母亲抚养了我
p2train-173	进了老和尚的庙里	进了老和尚的庙
p2train-174	我也来中国之前也常常听中国的流行歌曲	我来中国之前也常常听中国的流行歌曲
p2train-175	一起去玩儿了	一起去玩儿
p2train-176	对我真不满意	我真不满意
p2train-177	妈妈：你们一向日子过得好吗	妈妈：你们日子过得好吗
p2train-178	对他们需要的是为享受生活的健康	他们需要的是为享受生活的健康
p2train-179	生活规律上他们对我很严格了	生活规律上他们对我很严格
p2train-180	我当然同意对不挨饿先于吃“绿色食品”的看法	我当然同意不挨饿先于吃“绿色食品”的看法
p2train-181	为了帮助她的呼吸	为了帮助她呼吸
p2train-182	但是他们唱的歌曲都是差不多	但是他们唱的歌曲都差不多
p2train-183	有利于提高对工作的效率	有利于提高工作的效率
p2train-184	他真是个清白的公务员	他是个清白的公务员
p2train-185	学习汉语的苦与乐我从一九九五年开始学习学了汉语	学习汉语的苦与乐我从一九九五年开始学习汉语
p2train-186	到那时候以前	那时候以前
p2train-187	本人以前在旅游公司里都非常受到公司的器重	本人以前在旅游公司里都非常受公司的器重
p2train-188	所以我的哥哥比我大9岁	我的哥哥比我大9岁
p2train-189	人比较多的时	人比较多时
p2train-190	我想在贵公司当一个导游工作	我想在贵公司当一个导游
p2train-191	吃“绿色食品”是人类首先的第一位	吃“绿色食品”是人类的第一位
p2train-192	某孩子一出生就需父母来扶养他长大成人	孩子一出生就需父母来扶养他长大成人
p2train-193	但是大城市里也有不好的方面	但是大城市也有不好的方面
p2train-194	第三：病人本人的同意	第三：病人本人同意
p2train-195	我刚到中国来时是当我十七岁的时候	我刚到中国来时是我十七岁的时候
p2train-196	我们的之间新生了“代沟”这个词	我们之间新生了“代沟”这个词
p2train-197	才可以取安乐死	才可以安乐死
p2train-198	这些都是为了中国和中国人民发展不可缺少的条件	这些都是中国和中国人民发展不可缺少的条件
p2train-199	这是一种现代的出现的习惯	这是一种现代出现的习惯
p2train-200	于是吃了会有害于人的健康	吃了会有害于人的健康
p2train-201	有一点儿恨了父母	有一点儿恨父母
p2train-202	你就会饿死了	你就会饿死
p2train-203	春天开花芳香的景色也快要结束了	春天开花的景色也快要结束了
p2train-204	多听外国与祖国的流行歌曲就相当等于和外国人交流	多听外国与祖国的流行歌曲就相当于和外国人交流
p2train-205	我的知识是非常浅薄	我的知识非常浅薄
p2train-206	您也会不会生我的气啊	您会不会生我的气啊
p2train-207	流行歌曲有很多人的听众	流行歌曲有很多的听众
p2train-208	我之所以爱钓鱼是因为我父亲爱钓鱼的	我之所以爱钓鱼是因为我父亲爱钓鱼
p2train-209	吃一点东西意味着生死问题	一点东西意味着生死问题
p2train-210	在白白的脸上多了些皱纹	白白的脸上多了些皱纹
p2train-211	以取代生活中经常听到的噪声的方法是	以取代生活中经常听到的噪声的方法
p2train-212	可是还是会常常见到那些非法之类的行为	可是还是会常常见到那些非法的行为
p2train-213	我觉得现在的孩子比以前的孩子自私得多了	我觉得现在的孩子比以前的孩子自私多了
p2train-214	这个问题并不能说一概而论	这个问题并不能一概而论
p2train-215	全世界各个国家在共同努力下去	全世界各个国家共同努力下去
p2train-216	如果在公共场所边走边抽烟的人将被罚款	在公共场所边走边抽烟的人将被罚款
p2train-217	所以和像这个故事一样两个人都会做	所以像这个故事一样两个人都会做
p2train-218	但家人不同意的	但家人不同意
p2train-219	因光明出普觉寺上宏下船老和尚的圆寂	因光明出普觉寺上宏下船老和尚圆寂
p2train-220	我看好了选择学汉语以后一定有用的	我看好了选择学汉语以后一定有用
p2train-221	不像跟你那样弱	不像你那样弱
p2train-222	我的同学们每星期天跟父母一起去动物园或者别的游乐园玩	我的同学每星期天跟父母一起去动物园或者别的游乐园玩
p2train-223	当你正在和朋友一起玩儿的时候	当你和朋友一起玩儿的时候
p2train-224	所以我们应该一起动手要生产绿色食品	所以我们应该一起动手生产绿色食品
p2train-225	我本人是认为男女混合式教育是件无伤大雅的事	我本人认为男女混合式教育是件无伤大雅的事
p2train-226	我在老家的时候几乎每天跟爸爸吵架了	我在老家的时候几乎每天跟爸爸吵架
p2train-227	结婚的问题上现代子女想的是男子的性格	结婚的问题现代子女想的是男子的性格
p2train-228	这一位老师	这位老师
p2train-229	因此他们两之间几乎没有时间谈话	因此他们之间几乎没有时间谈话
p2train-230	原因正是单一性别的学校一般上表现较为突出	原因正是单一性别的学校一般表现较为突出
p2train-231	但我现在大4年级要好好准备走入社会的队伍	但我现在4年级要好好准备走入社会的队伍
p2train-232	但这一点大家知道吧	这一点大家知道吧
p2train-233	一年回家两次了	一年回家两次
p2train-234	我认为这个事情对身体健康更不好着呢	我认为这个事情对身体健康更不好呢
p2train-235	这是根据我的经验	这是我的经验
p2train-236	我也受到父母的影响长大了	我也受到父母的影响长大
p2train-237	这样吸烟是对人们有好处吗	这样吸烟对人们有好处吗
p2train-238	是了解男女的身体上的差异和精神上的差异	了解男女的身体上的差异和精神上的差异
p2train-239	以前人们耕田时最主要目的是尽量多多生产	以前人们耕田时最主要目的是尽量多生产
p2train-240	有的同学建议了把那种不好听的噪声换一下	有的同学建议把那种不好听的噪声换一下
p2train-241	歌曲会帮我解闷的	歌曲会帮我解闷
p2train-242	不能要发展不好方面	不能发展不好方面
p2train-243	面临有多的环境问题	有多的环境问题
p2train-244	开心地过了日子	开心地过日子
p2train-245	我是在商业商场已有了三年丰富的经验	我在商业商场已有了三年丰富的经验
p2train-246	十和十一这两个月很容易地说错	十和十一这两个月很容易说错
p2train-247	我们都很感谢你们了	我们都很感谢你们
p2train-248	我认为现在绿色食品是社会发展的应当的需要	我认为现在绿色食品是社会发展的需要
p2train-249	要需要不少钱	需要不少钱
p2train-250	可一股脑想一想你们和他现在做什么	可想一想你们和他现在做什么
p2train-251	而且比使用化肥和农药的食品多好吃	而且比使用化肥和农药的食品好吃
p2train-252	以前我小时候不知道了这种双方对话的方法	以前我小时候不知道这种双方对话的方法
p2train-253	当了她的翻译	当她的翻译
p2train-254	据我来理解	据我理解
p2train-255	记得在大学救读华文系时	记得在大学读华文系时
p2train-256	她本来是黑龙江的人	她本来是黑龙江人
p2train-257	现在我来讲我想的看法和解决的方案	现在我来讲我的看法和解决的方案
p2train-258	当过的时间最长的是日语老师	当过时间最长的是日语老师
p2train-259	他们最近没有兄弟姐妹	他们没有兄弟姐妹
p2train-260	这次放假的时候我可能不能回去香港	这次放假的时候我可能不能回香港
p2train-261	可问题是这欲望不是为了人类共同的	可问题是这欲望不是人类共同的
p2train-262	为了别人做	为别人做
p2train-263	因此是值得年轻人对此深思熟虑	因此值得年轻人对此深思熟虑
p2train-264	一边儿在夜间学校学英语了	一边儿在夜间学校学英语
p2train-265	如果父母是不好的话	如果父母不好的话
p2train-266	庙里多来了一个新和尚	庙里来了一个新和尚
p2train-267	全世界烟民人口越来越多	全世界烟民越来越多
p2train-268	男女之间不一定是存在着男女朋友关系	男女之间不一定是男女朋友关系
p2train-269	商店也“绿色食品”和用了化学用品的农作物两个都卖	商店“绿色食品”和用了化学用品的农作物两个都卖
p2train-270	我爷爷也很爱吸烟的	我爷爷也很爱吸烟
p2train-271	而女的需要1.70米高以上,两者需相貌端正和品行端正	而女的需要1.70米以上,两者需相貌端正和品行端正
p2train-272	除了能够了解新加坡的景点之外	除了了解新加坡的景点之外
p2train-273	这个是我的一个假期	这是我的一个假期
p2train-274	可是她不爱上他们	可是她不爱他们
p2train-275	甚至一家人都一起吃饭的机会也不多	甚至一家人一起吃饭的机会也不多
p2train-276	还有丈夫帮助妻子的自杀的问题	还有丈夫帮助妻子自杀的问题
p2train-277	我认为这当然吃“绿色食品”是第一位的	我认为当然吃“绿色食品”是第一位的
p2train-278	我感觉这种的歌控制我心里的感情	我感觉这种歌控制我心里的感情
p2train-279	我生了第一个孩子的时候完全不知道怎么照顾孩子	我生第一个孩子的时候完全不知道怎么照顾孩子
p2train-280	我认为这样的问题有与地球环境有关	我认为这样的问题与地球环境有关
p2train-281	在东京里的一些地区实施了在街上扔烟的人被罚款的法律	在东京的一些地区实施了在街上扔烟的人被罚款的法律
p2train-282	不过上了高中学生后	不过上了高中后
p2train-283	当时我很担心了你的健康	当时我很担心你的健康
p2train-284	觉得自己变得很可怜了	觉得自己变得很可怜
p2train-285	我家的一天从这句话来开始	我家的一天从这句话开始
p2train-286	我是也跟中国学生一起考专业考试上本科的	我是跟中国学生一起考专业考试上本科的
p2train-287	怎有意思吗	有意思吗
p2train-288	好的父母下有好的女儿	好的父母有好的女儿
p2train-289	所以她的孩子一生下来就死了	她的孩子一生下来就死了
p2train-290	我想我国小一年纪的时候第一次写给你们写信吧	我想我国小一年纪的时候第一次给你们写信吧
p2train-291	在大专学涯里	在大专
p2train-292	我觉得在这样的情况还有几个原因	我觉得这样的情况还有几个原因
p2train-293	诚实地干于所有的事情	诚实地干所有的事情
p2train-294	中老年人一般都不会太大喜欢流行歌曲	中老年人一般都不会太喜欢流行歌曲
p2train-295	我与作者都有同样的感受	我与作者有同样的感受
p2train-296	就喜欢它的歌曲	就喜欢它
p2train-297	中学生所面对的功课负荷是比小学时期重得多	中学生所面对的功课负荷比小学时期重得多
p2train-298	在新的学校我也有算我自己的生活	在新的学校我也有我自己的生活
p2train-299	代沟是时代越发展越会严重	代沟是时代越发展越严重
p2train-300	那么这就为往后能否融洽地相处打下稳固的基础	那么这就为往后融洽地相处打下稳固的基础
p2train-301	但令人遗憾的是烟民不顾周围人的身体健康仍然吸着将来可能要他们生命的那香烟	但令人遗憾的是烟民不顾周围人的身体健康仍然吸着将来可能要他们生命的香烟
p2train-302	同时这些东西全都是通过自己的父母来得到的	同时这些东西全都是通过自己的父母得到的
p2train-303	在日本东京街头上能看到一些牌子	在日本东京街头能看到一些牌子
p2train-304	但是我肯定会认为每一个人都会想保护自然环境	但是我肯定会认为每一个人都想保护自然环境
p2train-305	吸烟者应该按规定上吸烟	吸烟者应该按规定吸烟
p2train-306	我在新疆旅游完了以后要回到日本去	我在新疆旅游完了以后要回日本去
p2train-307	变成一个植物状态的人	变成一个植物人
p2train-308	因为为了念经和修道时应当需要吃	因为念经和修道时应当需要吃
p2train-309	人们应要听歌之前确立好自己的观点	人们应听歌之前确立好自己的观点
p2train-310	可以说我的妈妈是为记对我影响最大的一个人	可以说我的妈妈是对我影响最大的一个人
p2train-311	我真希望别人也都学他的这样的精神	我真希望别人也都学他这样的精神
p2train-312	所以好几年以前开始流行的“绿色食品”现在已很晋通化了	所以好几年以前开始流行的“绿色食品”现在已很晋通了
p2train-313	第二类的是通过朋友“介绍式”的交往	第二类是通过朋友“介绍式”的交往
p2train-314	回家又有老师那再好也不过了	回家又有老师那再好不过了
p2train-315	为了保护个人健康和公众利益,应该限制在公共场所的抽烟	为了保护个人健康和公众利益,应该限制在公共场所抽烟
p2train-316	大多数人没有挨饿的人	大多数人没有挨饿的
p2train-317	就是人们把用未经污染的农产品加工的食品叫做“绿色食品”	就是人们用未经污染的农产品加工的食品叫做“绿色食品”
p2train-318	根本不能理解我的	根本不能理解我
p2train-319	那么我期待着等贵公司的回答	那么我期待着贵公司的回答
p2train-320	但她常常抽个时间来看我	但她常常抽时间来看我
p2train-321	我的高中学校属于“佛教”的	我的高中学校属于“佛教”
p2train-322	我也有看外国的广告	我也看外国的广告
p2train-323	虽然我参加过别人的婚礼但是没想到安排自己的就是一种又辛苦又幸福的过程	虽然我参加过别人的婚礼但是没想到安排自己的是一种又辛苦又幸福的过程
p2train-324	男女生的体格和兴趣一般上是不一样的	男女生的体格和兴趣一般是不一样的
p2train-325	每天想家了	每天想家
p2train-326	但是实际上也有不是像“和尚”的人	但是实际上也有不像“和尚”的人
p2train-327	因为这明显地涉及到一种其社会的一切伦理与道德思想	因为这明显地涉及到社会的一切伦理与道德思想
p2train-328	我并不会不等他们的解释就发脾气	我并不会不等他们解释就发脾气
p2train-329	因为烟会危害被吸烟者的健康	因为烟会危害吸烟者的健康
p2train-330	一般上这些“月下老人”都会本着助人之心	一般这些“月下老人”都会本着助人之心
p2train-331	当许多人知道我是来自新加坡时	当许多人知道我是来自新加坡
p2train-332	因为她没有体力不能说话	因为她没有体力说话
p2train-333	我们会对自己充满了信心	我们会对自己充满信心
p2train-334	先了解这样的情况下	先了解这样的情况
p2train-335	所根据某个市政府出台的一项规定	根据某个市政府出台的一项规定
p2train-336	从全球世界的角度来看	从世界的角度来看
p2train-337	我基本上的意见就是想要抽烟就抽	我基本的意见就是想要抽烟就抽
p2train-338	常常成为人的失败的原因	常常成为人失败的原因
p2train-339	因此将能够全情投入工作	因此能够全情投入工作
p2train-340	因为怎么也找不到工作了	因为怎么也找不到工作
p2train-341	我觉得法律是不能拿决定的	我觉得法律是不能决定的
p2train-342	我在龙腾旅游公司任职为经理	我在龙腾旅游公司任经理
p2train-343	因此我们开始生产了“绿色食品”	因此我们开始生产“绿色食品”
p2train-344	日本政府进口蔬菜的管理相当严格了	日本政府进口蔬菜的管理相当严格
p2train-345	并曾任职于新加坡希尔顿酒店的人事部助理经理两年	并曾任职新加坡希尔顿酒店的人事部助理经理两年
p2train-346	水特别多了	水特别多
p2train-347	那时候他们很亲密的态度和想法来给我好主意	那时候他们很亲密的态度和想法给我好主意
p2train-348	我的奶奶一直住院了	我的奶奶一直住院
p2train-349	我认为进行针对性的生产过程是一种办法	我认为进行针对性的生产是一种办法
p2train-350	在公司的我认识的人当中没有一个不喜欢她的	在公司我认识的人当中没有一个不喜欢她的
p2train-351	孩子的成绩不太好的时也是	孩子的成绩不太好时也是
p2train-352	我心非常安心	我非常安心
p2train-353	最近青少年的吸烟越来越多	最近青少年吸烟越来越多
p2train-354	所以听说很难找到工作	听说很难找到工作
p2train-355	不喝水是不是人类做的事	不喝水不是人类做的事
p2train-356	我认为吸烟不吸烟是由每个人决定的事情	我认为吸烟不吸烟是由个人决定的事情
p2train-357	回国的本来的目的是为了写毕业论文	回国本来的目的是为了写毕业论文
p2train-358	我们有自立	我们自立
p2train-359	使我觉得很自傲	我觉得很自傲
p2train-360	从事导游的工作已经为期三年	从事导游的工作已经三年
p2train-361	还是晚吗	晚吗
p2train-362	我和父亲的性格较不一样	我和父亲的性格不一样
p2train-363	我没有学了	我没有学
p2train-364	特此希望对经理一职提出申请	特此对经理一职提出申请
p2train-365	有可能在公共场所很多人抽烟的话	在公共场所很多人抽烟的话
p2train-366	人是社会之动物	人是社会动物
p2train-367	我觉得班里只有女的是没有趣儿	我觉得班里只有女的没有趣儿
p2train-368	我对他讲的课很感到兴趣了	我对他讲的课很感兴趣了
p2train-369	在一个人的时候	一个人的时候
p2train-370	这些就写这些吧	就写这些吧
p2train-371	鲜少有意见分歧的时候	鲜有意见分歧的时候
p2train-372	甚至不知道怎么跟他们接触才好了	甚至不知道怎么跟他们接触才好
p2train-373	根据有关调查表明	根据有关调查
p2train-374	而汉语又是每个华人上学时的学的第二语言时	而汉语又是每个华人上学时学的第二语言时
p2train-375	让观众们解决从社会给他们的压力	让观众们解决社会给他们的压力
p2train-376	这个考试对我来说非常重要的	这个考试对我来说非常重要
p2train-377	每个假期都去了旅游	每个假期都去旅游
p2train-378	大概在农村生活的年轻人的大多数这样想着	大概在农村生活的年轻人的大多数这样想
p2train-379	的确是个高等动物	的确是高等动物
p2train-380	政府进行这项措施是一项有效率的行动	政府进行这项措施是一项有效的行动
p2train-381	大多数的公司都位在城里	大多数的公司都在城里
p2train-382	我认为“绿色食品”是不好的	我认为“绿色食品”是好的
p2train-383	这就是我对静音发表我的看法	这就是我对静音发表的看法
p2train-384	我才感觉到了生活的重要性	我才感觉到生活的重要性
p2train-385	因此他重视了孩子们的学习环境	因此他重视孩子们的学习环境
p2train-386	我小的时候常常跟奶奶发生问题了	我小的时候常常跟奶奶发生问题
